"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kayle","Middle",4,"3.6%","24.1%","35.7%","25%","-",12,15,14,1.7,"72.2%","29.4%","0%",-12,-337,-8.3,8.9,"31.4%",413,"28.4%","26.2%",0.31,0.15
"Kayle","Top",9,"8.0%","24.1%","35.7%","44%","-",20,26,49,2.7,"64.5%","23.0%","11%",-200,-309,-2.1,7.7,"28.9%",298,"18.4%","23.0%",0.47,0.09
"Kha'Zix","Jungle",10,"8.9%","6.3%","21.4%","20%","-",26,27,36,2.3,"65.3%","19.1%","30%",-189,-67,-0.2,3.6,"12.6%",271,"14.3%","17.0%",0.31,0.16
"Kha'Zix","Middle",4,"3.6%","6.3%","21.4%","75%","-",15,11,24,3.5,"78.0%","25.0%","0%",-192,-340,-12.8,7.9,"26.0%",389,"21.3%","22.7%",0.32,0.25
"Kha'Zix","Top",3,"2.7%","6.3%","21.4%","0%","-",10,11,12,2,"75.9%","25.0%","0%",205,-3,10,6.9,"28.4%",446,"27.4%","24.4%",0.64,0.02
"Kog'Maw","ADC",36,"32.1%","17.0%","49.1%","47%","-",154,69,163,4.6,"74.2%","15.8%","19%",-18,13,-2.2,7.9,"28.1%",674,"36.9%","24.9%",0.18,0.13
"LeBlanc","Middle",12,"10.7%","24.1%","34.8%","50%","-",41,22,47,4,"65.2%","18.6%","42%",152,147,5.9,7.4,"24.3%",448,"26.5%","23.1%",0.3,0.18
"Lee Sin","Jungle",49,"43.8%","41.1%","87.5%","61%","-",107,106,320,4,"69.0%","19.3%","43%",31,-15,-0.4,3.2,"10.2%",204,"11.1%","15.8%",0.78,0.23
"Lee Sin","Top",3,"2.7%","41.1%","87.5%","0%","-",9,20,17,1.3,"61.9%","30.3%","33%",-350,-270,7.3,8.1,"29.7%",508,"23.8%","24.0%",0.56,0.06
"Leona","Support",5,"4.5%","0.9%","5.4%","40%","-",2,15,24,1.7,"60.5%","26.3%","20%",100,-85,7.6,1.3,"4.9%",97,"7.4%","10.1%",1.2,0.23
"Lucian","ADC",54,"48.2%","12.5%","60.7%","56%","-",187,100,256,4.4,"71.0%","17.1%","19%",54,0,0.7,8.8,"31.2%",555,"30.8%","26.0%",0.24,0.15
"Lulu","Middle",16,"14.3%","46.4%","92.0%","44%","-",43,29,101,5,"77.8%","14.1%","31%",-91,31,-3.8,8.3,"29.0%",424,"25.0%","25.3%",0.3,0.19
"Lulu","Support",3,"2.7%","46.4%","92.0%","67%","-",4,7,20,3.4,"58.5%","22.6%","33%",135,142,0.3,1,"4.6%",184,"8.3%","14.6%",0.96,0.39
"Lulu","Top",32,"28.6%","46.4%","92.0%","59%","-",67,69,235,4.4,"70.1%","18.4%","31%",152,-28,0.4,7.5,"27.5%",386,"22.1%","22.4%",0.4,0.1
"Lux","Middle",1,"0.9%","0.0%","0.9%","0%","-",1,1,2,3,"42.9%","6.3%","0%",-397,-342,-25,7.3,"27.7%",583,"34.7%","22.6%",0.18,0.15
"Malphite","Top",1,"0.9%","0.0%","0.9%","0%","-",1,4,2,0.8,"50.0%","18.2%","0%",-187,-455,-9,8,"33.8%",431,"19.8%","25.7%",0.35,0
